No,資料名,資料番号,大阪市立図書館デジタルアーカイブ,ビューワー画像,IIIFマニフェスト,備考
1,眺望閣,1-25,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=d2146001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/1-25.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/1-25.json,
2,天神橋,1-6,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=d2127001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/1-6.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/1-6.json,
3,万綿類仕入所,3-1,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=b0261001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/3-1.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/3-1.json,
4,砂川奇勝,2-128,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0179001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-128.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-128.json,
5,第二会塲正面,2-3,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0059001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-3.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-3.json,
6,天守閣廻廊下の彫刻(大阪城公園),2-9,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=c0213001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-9.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-9.json,
7,大阪帝国大学医学部附属医院全景,2-60,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0115001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-60.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-60.json,
8,祭神千五百余体ノ内 大阪あみだ池 大黒粟おこし店,2-82,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0137001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-82.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-82.json,
9,復興大博覧会ラッキカード,2-111,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0165001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-111.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-111.json,
10,復興大博覧会全景図,2-115,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0166001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-115.json&lang=ja,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-115.json,
11,復興大博覧会正門之図,2-117,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0168001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-117.json,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-117.json,
12,産業日本の心臓たる大大阪を象徴する御堂筋大街路の一角、巍然として聳え立つ白亜の一大高廈(ガスビル全景),2-166,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=e0216001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/2-166.json&lang=ja,https://imgsrv.amane-project.jp/iiif/osaka-lib/2-166.json,
13,呉服太物商,3-3,http://image.oml.city.osaka.lg.jp/archive/detail?cls=ancient&pkey=b0337001,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?manifest=https://imgsrv.amane-project.jp/iiif/osaka-lib/3-3.json&lang=ja,https://imgsrv.amane-project.jp/iiif/osaka-lib/3-3.json,
